[512   0 121]
[ 520    0 1000]
[1420715       0    1000]
[1431297       0     142]
[1431302       0    1000]
[1442436       0     143]
[1450249       0    1111]
[1450425       0    1000]
[1454181       0      31]
[1454186       0    1000]
[1463174       0      32]
[1463179       0    1000]
[1472658       0      33]
[1478817       0    1111]
[1478974       0    1000]
[1498912       0     131]
[1498918       0    1000]
[1507377       0     132]
[1507383       0    1000]
[1516521       0     133]
[1522338       0    1111]
[1522514       0    1000]
[1526220       0     121]
[1526226       0    1000]
[1533848       0     122]
[1533853       0    1000]
[1542223       0     123]
[1547273       0    1111]
[1547455       0    1000]
[1551151       0     241]
[1551157       0    1000]
[1559089       0     242]
[1559094       0    1000]
[1567677       0     243]
[1572941       0    1111]
[1573111       0    1000]
[1576819       0      31]
[1576824       0    1000]
[1585813       0      32]
[1585820       0    1000]
[1595298       0      33]
[1601457       0    1111]
[1601634       0    1000]
[1605399       0     221]
[1605404       0    1000]
[1617308       0     222]
[1617314       0    1000]
[1629906       0     223]
[1639178       0    1111]
[1639328       0    1000]
[1643119       0     141]
[1643125       0    1000]
[1653706       0     142]
[1653711       0    1000]
[1664846       0     143]
[1672659       0    1111]
[1672839       0    1000]
[1676591       0     231]
[1676596       0    1000]
[1685270       0     232]
[1685276       0    1000]
[1694531       0     233]
[1700460       0    1111]
[1700636       0    1000]
[1704349       0     111]
[1704354       0    1000]
[1715192       0     112]
[1715198       0    1000]
[1726503       0     113]
[1734486       0    1111]
[1734660       0    1000]
[1738426       0      41]
[1738431       0    1000]
[1748743       0      42]
[1748747       0    1000]
[1759575       0      43]
[1767081       0    1111]
[1767257       0    1000]
[1771020       0      11]
[1771026       0    1000]
[1781336       0      12]
[1781342       0    1000]
[1792348       0      13]
[1800034       0    1111]
[1800210       0    1000]
[1803964       0      21]
[1803970       0    1000]
[1811636       0      22]
[1811641       0    1000]
[1819867       0      23]
[1824772       0    1111]
[1824947       0    1000]
[1828702       0     211]
[1828708       0    1000]
[1836638       0     212]
[1836645       0    1000]
[1845278       0     213]
[1850584       0    1111]
[1850759       0    1000]
[1931647       0     144]
[1931719       0    2001]
[1942805       0     214]
[1942877       0    2000]
[1951378       0     244]
[1951450       0    2001]
[1959891       0      24]
[1959964       0    2001]
[1968430       0     224]
[1968503       0    2001]
[1981046       0      34]
[1981119       0    2001]
[1990762       0     134]
[1990835       0    2001]
[1999821       0      44]
[1999894       0    2001]
[2010475       0      14]
[2010549       0    2001]
[2021301       0     234]
[2021374       0    2001]
[2030471       0     114]
[2030545       0    2001]
[2041577       0     124]
[2041651       0    2001]
[2049758       0     114]
[2049832       0    2001]
[2060975       0      24]
[2061049       0    2001]
[2069710       0     124]
[2069785       0    2001]
[2078215       0      44]
[2078290       0    2001]
[2089074       0     214]
[2089149       0    2000]
[2097655       0     144]
[2097731       0    2001]
[2108779       0     244]
[2108854       0    2001]
[2117770       0     234]
[2117845       0    2001]
[2127281       0     134]
[2127357       0    2001]
[2136673       0      14]
[2136749       0    2001]
[2147583       0     224]
[2147660       0    2001]
[2160225       0      34]
[2160302       0    2001]
[2169762       0     144]
[2169839       0    2001]
[2180664       0     134]
[2180741       0    2001]
[2189646       0     244]
[2189724       0    2001]
[2197954       0      24]
[2198031       0    2001]
[2206161       0     114]
[2206238       0    2001]
[2217591       0     214]
[2217669       0    2000]
[2225977       0     124]
[2226055       0    2001]
[2234507       0      44]
[2234585       0    2001]
[2245366       0      34]
[2245445       0    2001]
[2254672       0     224]
[2254751       0    2001]
[2267289       0      14]
[2267367       0    2001]
[2278173       0     234]
[2278253       0    2001]
[2287437       0      34]
[2287517       0    2001]
[2296735       0     114]
[2296815       0    2001]
[2307893       0     214]
[2307973       0    2000]
[2316236       0     234]
[2316316       0    2001]
[2325440       0     134]
[2325520       0    2001]
[2334371       0      44]
[2334451       0    2001]
[2344991       0      24]
[2345072       0    2001]
[2353027       0     144]
[2353107       0    2000]
[2363996       0      14]
[2364077       0    2000]
[2375931       0     224]
[2376012       0    2001]
[2388453       0     244]
[2388534       0    2001]
[2397358       0     124]
[2397440       0    2001]
[2405497       0     234]
[2405578       0    2001]
[2415263       0      44]
[2415346       0    2001]
[2426028       0     134]
[2426111       0    2001]
[2434926       0     114]
[2435008       0    2001]
[2446407       0     244]
[2446490       0    2001]
[2454733       0      34]
[2454816       0    2001]
[2464091       0     214]
[2464174       0    2000]
[2472562       0      14]
[2472645       0    2001]
[2483523       0      24]
[2483606       0    2001]
[2491720       0     144]
[2491804       0    2001]
[2502528       0     124]
[2502612       0    2001]
[2510777       0     224]
[2510861       0    2001]
